Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate1,O-78,7.125e-07,c2,C-1,C-2,E15
Plate1,O-78,1.425e-06,c2,C-1,C-2,E16
Plate1,O-78,2.613e-06,c2,C-1,C-2,E17
Plate1,O-78,4.513e-06,c2,C-1,C-2,E18
Plate1,O-78,8.075e-06,c2,C-1,C-2,E19
Plate1,O-78,1.473e-05,c2,C-1,C-2,E20
Plate1,O-78,2.684e-05,c2,C-1,C-2,E21
Plate1,O-78,4.869e-05,c2,C-1,C-2,E22
Plate1,C-1,NA,c2,C-1,C-2,E23
Plate1,C-1,NA,c2,C-1,C-2,E24
Plate1,C-1,NA,c2,C-1,C-2,F01
Plate1,O-94,2.375e-07,c2,C-1,C-2,F02
Plate1,O-94,4.75e-07,c2,C-1,C-2,F03
Plate1,O-94,7.125e-07,c2,C-1,C-2,F04
Plate1,O-94,1.425e-06,c2,C-1,C-2,F05
Plate1,O-94,2.613e-06,c2,C-1,C-2,F06
Plate1,O-94,4.513e-06,c2,C-1,C-2,F07
Plate1,O-94,8.075e-06,c2,C-1,C-2,F08
Plate1,O-94,1.473e-05,c2,C-1,C-2,F09
Plate1,O-94,2.684e-05,c2,C-1,C-2,F10
Plate1,O-94,4.869e-05,c2,C-1,C-2,F11
Plate1,C-1,NA,c2,C-1,C-2,F12
Plate1,O-94,2.375e-07,c2,C-1,C-2,F13
Plate1,O-94,4.75e-07,c2,C-1,C-2,F14
Plate1,O-94,7.125e-07,c2,C-1,C-2,F15
Plate1,O-94,1.425e-06,c2,C-1,C-2,F16
Plate1,O-94,2.613e-06,c2,C-1,C-2,F17
Plate1,O-94,4.513e-06,c2,C-1,C-2,F18
Plate1,O-94,8.075e-06,c2,C-1,C-2,F19
Plate1,O-94,1.473e-05,c2,C-1,C-2,F20
Plate1,O-94,2.684e-05,c2,C-1,C-2,F21
Plate1,O-94,4.869e-05,c2,C-1,C-2,F22
Plate1,C-1,NA,c2,C-1,C-2,F23
Plate1,C-1,NA,c2,C-1,C-2,F24
Plate1,C-1,NA,c2,C-1,C-2,G01
Plate1,O-09,2.375e-07,c2,C-1,C-2,G02
Plate1,O-09,4.75e-07,c2,C-1,C-2,G03
Plate1,O-09,7.125e-07,c2,C-1,C-2,G04
Plate1,O-09,1.425e-06,c2,C-1,C-2,G05
Plate1,O-09,2.613e-06,c2,C-1,C-2,G06
Plate1,O-09,4.513e-06,c2,C-1,C-2,G07
Plate1,O-09,8.075e-06,c2,C-1,C-2,G08
Plate1,O-09,1.473e-05,c2,C-1,C-2,G09
Plate1,O-09,2.684e-05,c2,C-1,C-2,G10
Plate1,O-09,4.869e-05,c2,C-1,C-2,G11
Plate1,C-1,NA,c2,C-1,C-2,G12
Plate1,O-09,2.375e-07,c2,C-1,C-2,G13
Plate1,O-09,4.75e-07,c2,C-1,C-2,G14
Plate1,O-09,7.125e-07,c2,C-1,C-2,G15
Plate1,O-09,1.425e-06,c2,C-1,C-2,G16
Plate1,O-09,2.613e-06,c2,C-1,C-2,G17
Plate1,O-09,4.513e-06,c2,C-1,C-2,G18
Plate1,O-09,8.075e-06,c2,C-1,C-2,G19
Plate1,O-09,1.473e-05,c2,C-1,C-2,G20
Plate1,O-09,2.684e-05,c2,C-1,C-2,G21
Plate1,O-09,4.869e-05,c2,C-1,C-2,G22
Plate1,C-1,NA,c2,C-1,C-2,G23
Plate1,C-1,NA,c2,C-1,C-2,G24
Plate1,C-1,NA,c2,C-1,C-2,H01
Plate1,O-22,2.375e-07,c2,C-1,C-2,H02
Plate1,O-22,4.75e-07,c2,C-1,C-2,H03
Plate1,O-22,7.125e-07,c2,C-1,C-2,H04
Plate1,O-22,1.425e-06,c2,C-1,C-2,H05
Plate1,O-22,2.613e-06,c2,C-1,C-2,H06
Plate1,O-22,4.513e-06,c2,C-1,C-2,H07
Plate1,O-22,8.075e-06,c2,C-1,C-2,H08
Plate1,O-22,1.473e-05,c2,C-1,C-2,H09
Plate1,O-22,2.684e-05,c2,C-1,C-2,H10
Plate1,O-22,4.869e-05,c2,C-1,C-2,H11
Plate1,C-1,NA,c2,C-1,C-2,H12
Plate1,O-22,2.375e-07,c2,C-1,C-2,H13
Plate1,O-22,4.75e-07,c2,C-1,C-2,H14
Plate1,O-22,7.125e-07,c2,C-1,C-2,H15
