plate,channel,row,col,value
Plate 2,Label2,9,8,745
Plate 2,Label2,9,9,765
Plate 2,Label2,9,10,890
Plate 2,Label2,9,11,915
Plate 2,Label2,9,12,435
Plate 2,Label2,9,13,545
Plate 2,Label2,9,14,505
Plate 2,Label2,9,15,380
Plate 2,Label2,9,16,465
Plate 2,Label2,9,17,450
Plate 2,Label2,9,18,575
Plate 2,Label2,9,19,515
Plate 2,Label2,9,20,665
Plate 2,Label2,9,21,735
Plate 2,Label2,9,22,730
Plate 2,Label2,9,23,490
Plate 2,Label2,9,24,360
Plate 2,Label2,10,1,520
Plate 2,Label2,10,2,580
Plate 2,Label2,10,3,560
Plate 2,Label2,10,4,460
Plate 2,Label2,10,5,395
Plate 2,Label2,10,6,515
Plate 2,Label2,10,7,455
Plate 2,Label2,10,8,485
Plate 2,Label2,10,9,475
Plate 2,Label2,10,10,610
Plate 2,Label2,10,11,545
Plate 2,Label2,10,12,415
Plate 2,Label2,10,13,370
Plate 2,Label2,10,14,575
Plate 2,Label2,10,15,450
Plate 2,Label2,10,16,380
Plate 2,Label2,10,17,550
Plate 2,Label2,10,18,565
Plate 2,Label2,10,19,445
Plate 2,Label2,10,20,530
Plate 2,Label2,10,21,680
Plate 2,Label2,10,22,565
Plate 2,Label2,10,23,575
Plate 2,Label2,10,24,350
Plate 2,Label2,11,1,495
Plate 2,Label2,11,2,420
Plate 2,Label2,11,3,425
Plate 2,Label2,11,4,470
Plate 2,Label2,11,5,425
Plate 2,Label2,11,6,645
Plate 2,Label2,11,7,415
Plate 2,Label2,11,8,525
Plate 2,Label2,11,9,595
Plate 2,Label2,11,10,470
Plate 2,Label2,11,11,520
Plate 2,Label2,11,12,365
Plate 2,Label2,11,13,535
Plate 2,Label2,11,14,480
Plate 2,Label2,11,15,390
Plate 2,Label2,11,16,540
Plate 2,Label2,11,17,335
Plate 2,Label2,11,18,450
Plate 2,Label2,11,19,540
Plate 2,Label2,11,20,405
Plate 2,Label2,11,21,525
Plate 2,Label2,11,22,515
Plate 2,Label2,11,23,500
Plate 2,Label2,11,24,395
Plate 2,Label2,12,1,375
Plate 2,Label2,12,2,480
Plate 2,Label2,12,3,575
Plate 2,Label2,12,4,475
Plate 2,Label2,12,5,420
Plate 2,Label2,12,6,570
Plate 2,Label2,12,7,470
Plate 2,Label2,12,8,545
Plate 2,Label2,12,9,420
Plate 2,Label2,12,10,510
Plate 2,Label2,12,11,595
Plate 2,Label2,12,12,320
Plate 2,Label2,12,13,400
Plate 2,Label2,12,14,415
Plate 2,Label2,12,15,375
Plate 2,Label2,12,16,445
Plate 2,Label2,12,17,365
Plate 2,Label2,12,18,445
Plate 2,Label2,12,19,430
Plate 2,Label2,12,20,415
Plate 2,Label2,12,21,520
Plate 2,Label2,12,22,460
Plate 2,Label2,12,23,565
Plate 2,Label2,12,24,355
Plate 2,Label2,13,1,375
Plate 2,Label2,13,2,1345
Plate 2,Label2,13,3,1520
Plate 2,Label2,13,4,1205
Plate 2,Label2,13,5,1020
Plate 2,Label2,13,6,1070
Plate 2,Label2,13,7,850
Plate 2,Label2,13,8,700
Plate 2,Label2,13,9,765
Plate 2,Label2,13,10,485
Plate 2,Label2,13,11,695
Plate 2,Label2,13,12,450
Plate 2,Label2,13,13,1060
Plate 2,Label2,13,14,1530
Plate 2,Label2,13,15,930
Plate 2,Label2,13,16,915
Plate 2,Label2,13,17,790
Plate 2,Label2,13,18,915
Plate 2,Label2,13,19,785
Plate 2,Label2,13,20,565
Plate 2,Label2,13,21,545
Plate 2,Label2,13,22,395
Plate 2,Label2,13,23,480
Plate 2,Label2,13,24,290
Plate 2,Label2,14,1,455
Plate 2,Label2,14,2,1280
Plate 2,Label2,14,3,1080
Plate 2,Label2,14,4,490
Plate 2,Label2,14,5,570
Plate 2,Label2,14,6,635
Plate 2,Label2,14,7,370
Plate 2,Label2,14,8,420
Plate 2,Label2,14,9,445
Plate 2,Label2,14,10,300
Plate 2,Label2,14,11,430
Plate 2,Label2,14,12,360
Plate 2,Label2,14,13,2010
Plate 2,Label2,14,14,905
Plate 2,Label2,14,15,410
Plate 2,Label2,14,16,570
Plate 2,Label2,14,17,355
Plate 2,Label2,14,18,470
Plate 2,Label2,14,19,345
Plate 2,Label2,14,20,390
Plate 2,Label2,14,21,310
Plate 2,Label2,14,22,455
Plate 2,Label2,14,23,495
Plate 2,Label2,14,24,305
Plate 2,Label2,15,1,415
Plate 2,Label2,15,2,490
Plate 2,Label2,15,3,535
Plate 2,Label2,15,4,420
Plate 2,Label2,15,5,530
Plate 2,Label2,15,6,680
Plate 2,Label2,15,7,425
