Plate_ID,row,chem_M,value,valueNorm
Plate2,12,7.125e-07,425.0,0.0490557653854699
Plate2,12,1.425e-06,432.5,0.0663695649332828
Plate2,12,2.613e-06,467.5,0.1471672961564097
Plate2,12,4.513e-06,457.5,0.12408223009265915
Plate2,12,8.075e-06,487.5,0.19333742828391076
Plate2,12,1.473e-05,417.5,0.03174196583765699
Plate2,12,2.684e-05,515.0,0.2568213599592248
Plate2,12,4.869e-05,527.5,0.28567769253891295
Plate2,13,9.831e-06,1202.5,1.8554621848739496
Plate2,13,5.797e-06,1525.0,2.5999555654299047
Plate2,13,3.458e-06,1067.5,1.5438137930133173
Plate2,13,2.068e-06,967.5,1.312963132375812
Plate2,13,1.22e-06,930.0,1.2263941346367475
Plate2,13,7.458e-07,882.5,1.1167400708339323
Plate2,13,4.407e-07,742.5,0.7935491459414248
Plate2,13,2.712e-07,665.0,0.6146398839473581
Plate2,13,1.695e-07,515.0,0.26836389299110003
Plate2,13,1.017e-07,545.0,0.33761909118235167
Plate2,14,4.869e-05,1645.0,2.8654338251630356
Plate2,14,2.684e-05,992.5,1.359133264503313
Plate2,14,1.473e-05,450.0,0.10676843054484625
Plate2,14,8.075e-06,570.0,0.3837892233098527
Plate2,14,4.513e-06,495.0,0.2106512278317237
Plate2,14,2.613e-06,420.0,0.037513232353594626
Plate2,14,1.425e-06,382.5,-0.0490557653854699
Plate2,14,7.125e-07,417.5,0.03174196583765699
Plate2,14,4.75e-07,305.0,-0.22796502737953658
Plate2,14,2.375e-07,442.5,0.08945463099703334
Plate2,15,4.873e-05,467.5,0.13851039638250323
Plate2,15,2.425e-05,500.0,0.2135368610896925
Plate2,15,1.201e-05,440.0,0.07502646470718925
Plate2,15,5.893e-06,467.5,0.13851039638250323
Plate2,15,2.946e-06,555.0,0.3405047244403205
Plate2,15,1.587e-06,422.5,0.03462759909562581
Plate2,15,6.8e-07,470.0,0.14428166289844088
Plate2,15,4.533e-07,447.5,0.09234026425500216
Plate2,15,2.267e-07,412.5,0.01154253303187527
Plate2,15,1.137e-07,355.0,-0.12119659683469033
Plate1,2,2.375e-07,492.5,0.1645021645021645
Plate1,2,4.75e-07,562.5,0.32611832611832614
Plate1,2,7.125e-07,482.5,0.1414141414141414
Plate1,2,1.425e-06,480.0,0.13564213564213565
Plate1,2,2.613e-06,515.0,0.21645021645021645
Plate1,2,4.513e-06,642.5,0.5108225108225108
Plate1,2,8.075e-06,670.0,0.5743145743145743
Plate1,2,1.473e-05,767.5,0.7994227994227994
Plate1,2,2.684e-05,937.5,1.1919191919191918
Plate1,2,4.869e-05,1537.5,2.577200577200577
Plate1,3,2.375e-07,585.0,0.3665223665223665
Plate1,3,4.75e-07,582.5,0.36075036075036077
Plate1,3,7.125e-07,522.5,0.2222222222222222
Plate1,3,1.425e-06,645.0,0.5050505050505051
Plate1,3,2.613e-06,580.0,0.354978354978355
Plate1,3,4.513e-06,610.0,0.42424242424242425
Plate1,3,8.075e-06,715.0,0.6666666666666666
Plate1,3,1.473e-05,670.0,0.5627705627705628
Plate1,3,2.684e-05,992.5,1.3073593073593073
Plate1,3,4.869e-05,1162.5,1.6998556998557
Plate1,4,2.375e-07,527.5,0.20202020202020202
Plate1,4,4.75e-07,550.0,0.25396825396825395
Plate1,4,7.125e-07,535.0,0.21933621933621933
Plate1,4,1.425e-06,522.5,0.19047619047619047
Plate1,4,2.613e-06,487.5,0.10966810966810966
Plate1,4,4.513e-06,510.0,0.16161616161616163
Plate1,4,8.075e-06,637.5,0.455988455988456
Plate1,4,1.473e-05,497.5,0.13275613275613277
Plate1,4,2.684e-05,632.5,0.4444444444444444
Plate1,4,4.869e-05,620.0,0.4155844155844156
Plate1,5,2.375e-07,565.0,0.16161616161616163
Plate1,5,4.75e-07,565.0,0.16161616161616163
Plate1,5,7.125e-07,540.0,0.1038961038961039
Plate1,5,1.425e-06,505.0,0.023088023088023088
Plate1,5,2.613e-06,515.0,0.046176046176046176
Plate1,5,4.513e-06,597.5,0.23665223665223664
Plate1,5,8.075e-06,620.0,0.2886002886002886
Plate1,5,1.473e-05,605.0,0.25396825396825395
Plate1,5,2.684e-05,490.0,-0.011544011544011544
Plate1,5,4.869e-05,590.0,0.21933621933621933
Plate1,6,2.375e-07,522.5,0.07503607503607504
Plate1,6,4.75e-07,510.0,0.046176046176046176
Plate1,6,7.125e-07,590.0,0.23088023088023088
Plate1,6,1.425e-06,537.5,0.10966810966810966
Plate1,6,2.613e-06,622.5,0.3059163059163059
Plate1,6,4.513e-06,580.0,0.2077922077922078
Plate1,6,8.075e-06,657.5,0.38672438672438675
Plate1,6,1.473e-05,442.5,-0.10966810966810966
Plate1,6,2.684e-05,552.5,0.1443001443001443
Plate1,6,4.869e-05,570.0,0.1847041847041847
Plate1,7,2.375e-07,525.0,0.10004810004810001
Plate1,7,4.75e-07,530.0,0.11159211159211155
Plate1,7,7.125e-07,545.0,0.14622414622414617
Plate1,7,1.425e-06,590.0,0.2501202501202501
Plate1,7,2.613e-06,525.0,0.10004810004810001
Plate1,7,4.513e-06,670.0,0.4348244348244348
Plate1,7,8.075e-06,617.5,0.31361231361231356
Plate1,7,1.473e-05,632.5,0.3482443482443482
Plate1,7,2.684e-05,640.0,0.36556036556036553
Plate1,7,4.869e-05,805.0,0.7465127465127465
Plate1,8,2.375e-07,495.0,0.2712842712842713
Plate1,8,4.75e-07,555.0,0.4098124098124098
Plate1,8,7.125e-07,442.5,0.15007215007215008
Plate1,8,1.425e-06,557.5,0.4155844155844156
Plate1,8,2.613e-06,562.5,0.42712842712842713
Plate1,8,4.513e-06,545.0,0.38672438672438675
Plate1,8,8.075e-06,575.0,0.455988455988456
Plate1,8,1.473e-05,547.5,0.3924963924963925
Plate1,8,2.684e-05,600.0,0.5137085137085137
Plate1,8,4.869e-05,722.5,0.7965367965367965
Plate1,9,2.375e-07,620.0,0.33766233766233766
Plate1,9,4.75e-07,512.5,0.08946608946608947
Plate1,9,7.125e-07,452.5,-0.049062049062049064
Plate1,9,1.425e-06,470.0,-0.008658008658008658
Plate1,9,2.613e-06,582.5,0.2510822510822511
Plate1,9,4.513e-06,572.5,0.227994227994228
Plate1,9,8.075e-06,580.0,0.2453102453102453
Plate1,9,1.473e-05,602.5,0.2972582972582973
Plate1,9,2.684e-05,627.5,0.354978354978355
Plate1,9,4.869e-05,697.5,0.5165945165945166
Plate1,10,2.375e-07,480.0,0.1231361231361231
Plate1,10,4.75e-07,500.0,0.16931216931216928
Plate1,10,7.125e-07,487.5,0.1404521404521404
Plate1,10,1.425e-06,610.0,0.42328042328042326
Plate1,10,2.613e-06,460.0,0.07696007696007692
Plate1,10,4.513e-06,745.0,0.7349687349687349
Plate1,10,8.075e-06,567.5,0.3251563251563251
Plate1,10,1.473e-05,567.5,0.3251563251563251
Plate1,10,2.684e-05,687.5,0.6022126022126022
Plate1,10,4.869e-05,547.5,0.27898027898027894
Plate1,11,2.375e-07,395.0,-0.16161616161616163
Plate1,11,4.75e-07,410.0,-0.12698412698412698
Plate1,11,7.125e-07,495.0,0.06926406926406926
Plate1,11,1.425e-06,525.0,0.13852813852813853
Plate1,11,2.613e-06,525.0,0.13852813852813853
Plate1,11,4.513e-06,552.5,0.20202020202020202
Plate1,11,8.075e-06,650.0,0.42712842712842713
Plate1,11,1.473e-05,637.5,0.39826839826839827
Plate1,11,2.684e-05,692.5,0.5252525252525253
Plate1,11,4.869e-05,790.0,0.7503607503607503
Plate1,12,2.375e-07,512.5,0.2857142857142857
Plate1,12,4.75e-07,415.0,0.06060606060606061
Plate1,12,7.125e-07,405.0,0.03751803751803752
Plate1,12,1.425e-06,527.5,0.3203463203463203
Plate1,12,2.613e-06,390.0,0.002886002886002886
Plate1,12,4.513e-06,417.5,0.06637806637806638
Plate1,12,8.075e-06,452.5,0.1471861471861472
Plate1,12,1.473e-05,447.5,0.13564213564213565
Plate1,12,2.684e-05,395.0,0.01443001443001443
Plate1,12,4.869e-05,560.0,0.3953823953823954
Plate1,13,9.831e-06,1107.5,1.520923520923521
Plate1,13,5.797e-06,1230.0,1.8037518037518037
Plate1,13,3.458e-06,1132.5,1.5786435786435786
Plate1,13,2.068e-06,1105.0,1.5151515151515151
Plate1,13,1.22e-06,845.0,0.9148629148629148
Plate1,13,7.458e-07,725.0,0.6378066378066378
Plate1,13,4.407e-07,602.5,0.354978354978355
Plate1,13,2.712e-07,670.0,0.5108225108225108
Plate1,13,1.695e-07,657.5,0.481962481962482
Plate1,13,1.017e-07,530.0,0.18759018759018758
Plate1,14,4.869e-05,1232.5,1.9365079365079365
Plate1,14,2.684e-05,805.0,0.9494949494949495
Plate1,14,1.473e-05,600.0,0.47619047619047616
Plate1,14,8.075e-06,582.5,0.4357864357864358
Plate1,14,4.513e-06,457.5,0.1471861471861472
Plate1,14,2.613e-06,395.0,0.002886002886002886
Plate1,14,1.425e-06,375.0,-0.04329004329004329
Plate1,14,7.125e-07,502.5,0.2510822510822511
Plate1,14,4.75e-07,340.0,-0.1240981240981241
Plate1,14,2.375e-07,397.5,0.008658008658008658
Plate1,15,4.873e-05,612.5,0.38672438672438675
Plate1,15,2.425e-05,515.0,0.16161616161616163
Plate1,15,1.201e-05,585.0,0.32323232323232326
Plate1,15,5.893e-06,352.5,-0.21356421356421357
Plate1,15,2.946e-06,465.0,0.046176046176046176
Plate1,15,1.587e-06,405.0,-0.09235209235209235
Plate1,15,6.8e-07,437.5,-0.017316017316017316
Plate1,15,4.533e-07,332.5,-0.2597402597402597
Plate1,15,2.267e-07,502.5,0.13275613275613277
Plate1,15,1.137e-07,505.0,0.13852813852813853
