plate,channel,row,col,value,Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate 2,Label2,3,16,490,Plate2,O-66,1.425e-06,c2,C-1,C-2,C16
Plate 2,Label2,3,17,575,Plate2,O-66,2.613e-06,c2,C-1,C-2,C17
Plate 2,Label2,3,18,420,Plate2,O-66,4.513e-06,c2,C-1,C-2,C18
Plate 2,Label2,3,19,470,Plate2,O-66,8.075e-06,c2,C-1,C-2,C19
Plate 2,Label2,3,20,480,Plate2,O-66,1.473e-05,c2,C-1,C-2,C20
Plate 2,Label2,3,21,725,Plate2,O-66,2.684e-05,c2,C-1,C-2,C21
Plate 2,Label2,3,22,890,Plate2,O-66,4.869e-05,c2,C-1,C-2,C22
Plate 2,Label2,3,23,610,Plate2,C-1,NA,c2,C-1,C-2,C23
Plate 2,Label2,3,24,365,Plate2,C-1,NA,c2,C-1,C-2,C24
Plate 2,Label2,4,1,620,Plate2,C-1,NA,c2,C-1,C-2,D01
Plate 2,Label2,4,2,560,Plate2,O-41,2.375e-07,c2,C-1,C-2,D02
Plate 2,Label2,4,3,555,Plate2,O-41,4.75e-07,c2,C-1,C-2,D03
Plate 2,Label2,4,4,605,Plate2,O-41,7.125e-07,c2,C-1,C-2,D04
Plate 2,Label2,4,5,555,Plate2,O-41,1.425e-06,c2,C-1,C-2,D05
Plate 2,Label2,4,6,585,Plate2,O-41,2.613e-06,c2,C-1,C-2,D06
Plate 2,Label2,4,7,685,Plate2,O-41,4.513e-06,c2,C-1,C-2,D07
Plate 2,Label2,4,8,440,Plate2,O-41,8.075e-06,c2,C-1,C-2,D08
Plate 2,Label2,4,9,585,Plate2,O-41,1.473e-05,c2,C-1,C-2,D09
Plate 2,Label2,4,10,785,Plate2,O-41,2.684e-05,c2,C-1,C-2,D10
Plate 2,Label2,4,11,605,Plate2,O-41,4.869e-05,c2,C-1,C-2,D11
Plate 2,Label2,4,12,485,Plate2,C-1,NA,c2,C-1,C-2,D12
Plate 2,Label2,4,13,505,Plate2,O-41,2.375e-07,c2,C-1,C-2,D13
Plate 2,Label2,4,14,565,Plate2,O-41,4.75e-07,c2,C-1,C-2,D14
Plate 2,Label2,4,15,590,Plate2,O-41,7.125e-07,c2,C-1,C-2,D15
Plate 2,Label2,4,16,570,Plate2,O-41,1.425e-06,c2,C-1,C-2,D16
Plate 2,Label2,4,17,440,Plate2,O-41,2.613e-06,c2,C-1,C-2,D17
